#flow_id,protocol,first_seen,last_seen,duration,src_ip,src_port,dst_ip,dst_port,ndpi_proto_num,ndpi_proto,server_name_sni,c_to_s_pkts,c_to_s_bytes,c_to_s_goodput_bytes,s_to_c_pkts,s_to_c_bytes,s_to_c_goodput_bytes,data_ratio,str_data_ratio,c_to_s_goodput_ratio,s_to_c_goodput_ratio,iat_flow_min,iat_flow_avg,iat_flow_max,iat_flow_stddev,iat_c_to_s_min,iat_c_to_s_avg,iat_c_to_s_max,iat_c_to_s_stddev,iat_s_to_c_min,iat_s_to_c_avg,iat_s_to_c_max,iat_s_to_c_stddev,pktlen_c_to_s_min,pktlen_c_to_s_avg,pktlen_c_to_s_max,pktlen_c_to_s_stddev,pktlen_s_to_c_min,pktlen_s_to_c_avg,pktlen_s_to_c_max,pktlen_s_to_c_stddev,cwr,ece,urg,ack,psh,rst,syn,fin,c_to_s_cwr,c_to_s_ece,c_to_s_urg,c_to_s_ack,c_to_s_psh,c_to_s_rst,c_to_s_syn,c_to_s_fin,s_to_c_cwr,s_to_c_ece,s_to_c_urg,s_to_c_ack,s_to_c_psh,s_to_c_rst,s_to_c_syn,s_to_c_fin,c_to_s_init_win,s_to_c_init_win,server_info,tls_version,ja3c,tls_client_unsafe,ja3s,tls_server_unsafe,tls_alpn,tls_supported_versions,ssh_client_hassh,ssh_server_hassh,flow_info,plen_bins,http_user_agent
116,17,1650477554.094,1650477554.111,0.017,192.168.1.6,51200,192.168.1.1,53,5.140,DNS.Apple,quota.fe.apple-dns.net,1,82,40,1,155,113,-0.308,Download,48.2,72.4,16,16.0,16,0.0,0,0.0,0,0.0,0,0.0,0,0.0,82,82.0,82,0.0,155,155.0,155,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,,,,::,0;50;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

18,6,1650477316.726,1650477510.861,194.135,192.168.1.6,60677,13.32.172.132,443,91.265,TLS.AmazonAWS,,9,510,0,8,605,63,-0.085,Mixed,0.0,10.4,28,20084.9,45162,22407.1,0,25819.9,45222,22360.7,0,36146.6,45211,18073.3,54,56.7,66,5.0,68,75.6,105,13.6,0,0,0,16,2,2,0,1,0,0,0,8,0,2,0,0,0,0,0,8,2,0,0,1,0,0,,0,,0,,0,,,,,,50;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

38,6,1650477341.729,1650477569.460,227.731,192.168.1.6,60655,185.199.110.154,443,91,TLS,,6,324,0,6,408,0,-0.115,Mixed,0.0,0.0,24,18107.5,45321,22114.1,45166,45256.2,45351,66.0,45131,45223.2,45350,82.4,54,54.0,54,0.0,68,68.0,68,0.0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,0,,0,,0,,,,,,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

119,17,1650477554.382,1650477554.416,0.034,192.168.1.6,62472,192.168.1.1,53,5,DNS,femetrics.grammarly.io,1,82,40,1,350,308,-0.620,Download,48.2,87.7,33,33.0,33,0.0,0,0.0,0,0.0,0,0.0,0,0.0,82,82.0,82,0.0,350,350.0,350,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,,,,54.163.83.97,0;50;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

63,6,1650477418.657,1650477422.234,3.577,192.168.1.6,60704,17.248.180.112,443,91.143,TLS.AppleiCloud,gateway.icloud.com,48,13344,10116,45,23609,20555,-0.278,Download,75.8,87.1,1,149.3,2175,440.9,0,87.4,2175,352.6,0,92.2,2227,374.6,66,278.0,1506,417.3,68,524.6,1506,615.8,0,0,0,92,39,0,2,3,0,0,0,47,20,0,1,2,0,0,0,45,19,0,1,1,78,76,,TLSv1.2,656b9a2f4de6ed4909e157482860ab3d,OK,,0,h2;http/1.1,,,,h2;http/1.1,20;14;2;4;2;0;0;0;4;0;0;2;0;4;0;0;2;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;2;2;24;0;0,

